Materia,Num_Materia,Nom1,Nom2,Nom3,Nom4,Nom5,Nom6,Nom7,Nom8,Nom9,Nom10,Nom11,Nom12,Nom13,Nom14,Nom15,Nom16,Nom17,Nom18,Nom19,Nom20
Algoritmos Paralelos,155,/Procesos Paralelos y Distribuidos/Algoritmos Paralelos/Algoritmos Paralelos,Procesos Paralelos y Distribuidos,Algoritmos Paralelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cómputo Evolutivo,156,/Algoritmos Genéticos/Cómputo Evolutivo,Algoritmos Genéticos,Cómputo Evolutivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biología Matemática II,157,Biología Matemática II/Biología Matemática II/Biología Matemática II,Biología Matemática II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuaciones Diferenciales Parciales II,158,Ecuaciones Diferenciales Parciales II/Ecuaciones Diferenciales Parciales II/Ecuaciones Diferenciales Parciales II/Ecuaciones Diferenciales Parciales II,Ecuaciones Diferenciales Parciales II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control Estadístico de la Calidad,159,Simulación y Control,Control Estadístico de la Calidad,Simulación y Control/Simulación y Control/Simulación y Control/Simulación y Control,Control Estadístico de la Calidad/Control Estadístico de la Calidad/Control Estadístico de la Calidad/Control Estadístico de la Calidad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de los Conjuntos III,160,Teoría de los Conjuntos III/Teoría de los Conjuntos III/Teoría de los Conjuntos III,Teoría de los Conjuntos III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variable Compleja III,161,Variable Compleja III/Variable Compleja III/Variable Compleja III,Variable Compleja III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finanzas Corporativas,162,Finanzas Corporativas/Finanzas Corporativas/Finanzas Corporativas/Finanzas Corporativas,Finanzas Corporativas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de Códigos,163,Teoría de Códigos/Teoría de Códigos/Teoría de Códigos,Teoría de Códigos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introducción a la Investigación Social,164,Introducción a la Investigación Social/Introducción a la Investigación Social/Introducción a la Investigación Social/Introducción a la Investigación Social,Introducción a la Investigación Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Ciencia y Sociedad I,165,Seminario de Ciencia y Sociedad I/Seminario de Ciencia y Sociedad I/Seminario de Ciencia y Sociedad I,Seminario de Ciencia y Sociedad I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complejidad Computacional,166,Complejidad Computacional/Complejidad Computacional/Complejidad Computacional/Complejidad Computacional,Complejidad Computacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inglés I,167,Inglés I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sistemas Dinámicos Discretos II,168,Sistemas Dinámicos Discretos II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programación Entera,169,Programación Entera/Programación Entera/Programación Entera/Programación Entera/Programación Entera/Programación Entera/Programación Entera/Programación Entera,Programación Entera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Ciencia y Sociedad II,170,Seminario de Ciencia y Sociedad II,Seminario de Ciencia y Sociedad II/Seminario de Ciencia y Sociedad II/Seminario de Ciencia y Sociedad II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inglés II,171,Inglés II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matemáticas para las Ciencias Aplicadas I,172,Matemáticas para las Ciencias Aplicadas I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matemáticas para las Ciencias Aplicadas II,173,Matemáticas para las Ciencias Aplicadas II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inglés III,174,Inglés III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matemáticas para las Ciencias Aplicadas III,175,Matemáticas para las Ciencias Aplicadas III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matemáticas para las Ciencias Aplicadas IV,176,Matemáticas para las Ciencias Aplicadas IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inglés IV,177,Inglés IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programación no Lineal,178,Programación no Lineal/Programación no Lineal/Programación no Lineal/Programación no Lineal/Programación no Lineal/Programación no Lineal/Programación no Lineal/Programación no Lineal,Programación no Lineal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inglés V,179,Inglés V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diseño y Programación de Videojuegos,180,Diseño y Programación de Videojuegos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inglés VI,181,Inglés VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criptografía y Seguridad,182,Introducción a la Criptografía,Criptografía y Seguridad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Métricas de Software,183,Métricas de Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genómica Computacional,184,Genómica Computacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Realidad Virtual,185,Realidad Virtual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Apoyo a la Titulación en Actuaría A,186,Seminario de Apoyo a la Titulación en Actuaría A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Apoyo a la Titulación en Matemáticas,187,Seminario de Apoyo a la Titulación en Matemáticas A,Seminario de Apoyo a la Titulación en Matemáticas B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Apoyo a la Titulación en Actuaría B,188,Seminario de Apoyo a la Titulación en Actuaría B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Apoyo a la Titulación en Ciencias de la Computación,189,Seminario de Apoyo a la Titulación en Ciencias de la Computación A,Seminario de Apoyo a la Titulación en Ciencias de la Computación B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciencia Básica,190,Ciencia Básica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometría Riemanniana II,191,Geometría Riemanniana II/Geometría Riemanniana II/Geometría Riemanniana II,Geometría Riemanniana II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taller de Modelación I,192,Taller de Modelación I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulación Estocástica,193,Simulación Estocástica/Simulación Estocástica/Simulación Estocástica,Simulación Estocástica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taller de Modelación II,194,Taller de Modelación II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Análisis Matemático Aplicado,195,Análisis Matemático Aplicado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sistemas Dinámicos no Lineales,196,Sistemas Dinámicos no Lineales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proyecto I,197,Proyecto I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modelos Lineales,198,Modelos Lineales/Modelos Lineales/Modelos Lineales,Modelos Lineales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taller de Redacción,199,Taller de Redacción,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solución Numérica de Ecuaciones Diferenciales Ordinarias,200,Solución Numérica de Ecuaciones Diferenciales Ordinarias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computación Distribuida,201,Computación Distribuida,Principios de Computación Distribuida,/Principios de Computación Distribuida/Computación Concurrente,Computación Concurrente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animación por Computadora,202,Animación por Computadora,/Seminario de Aplicaciones de Cómputo/Animación por Computadora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
